status.region;region
dialog.import_chunks_confirmation.options.selection_only;Aplikovat pouze na výběr
dialog.import_chunks_confirmation.options.y_offset;Y offset
dialog.import_chunks_confirmation.options.sections;Sekce
dialog.import_chunks_confirmation.warning;Upozornění: Při importování chunků s posunem se neaktualizuje obsah příkazových bloků.
dialog.export_chunks_confirmation.title;Exportovat chunky
dialog.export_chunks_confirmation.header_short;Chcete exportovat neznámý počet chunků vybraného světa.
dialog.export_chunks_confirmation.header_verbose;Chcete exportovat %d chunků vybraného světa.
dialog.import_selection.title;Importovat výběr z .csv
dialog.import_selection.header;Tento svět již má výběr.\nJak by měl být nový výběr importován?
dialog.import_selection.overwrite;Přepsat
dialog.import_selection.merge;Přidat
dialog.import_selection.subtract;Odečíst
dialog.filter_chunks.title;Filtrovat chunky
dialog.filter_chunks.filter.add.tooltip;Přidá další podmínku pod stávající.
dialog.filter_chunks.filter.delete.tooltip;Smaže tuto podmínku.
dialog.filter_chunks.filter.type.tooltip;Typ podmínky.
dialog.filter_chunks.filter.operator.tooltip;Operátor pro spojení několika podmínek.
dialog.filter_chunks.filter.comparator.tooltip;Porovnávač.
dialog.filter_chunks.select;Vybrat
dialog.filter_chunks.select.tooltip;Vytvoří výběr ovlivněných chunků.
dialog.filter_chunks.export;Exportovat
dialog.filter_chunks.export.tooltip;Exportuje všechny ovlivněné chunky do nové složky.
dialog.filter_chunks.delete;Smazat
dialog.filter_chunks.delete.tooltip;Smaže všechny ovlivněné chunky z aktuálního světa.
dialog.filter_chunks.selection_only;Aplikovat pouze na výběr
dialog.filter_chunks.add_selection;Přidat výběr
dialog.filter_chunks.subtract_selection;Odebrat výběr
dialog.filter_chunks.selection_radius;Poloměr výběru
dialog.filter_chunks.tab_query;Dotaz
dialog.filter_chunks.tab_script;Skript
dialog.edit_overlays.title;Upravit překryvy
dialog.edit_overlays.overlay_active.tooltip;Aktivní
dialog.edit_overlays.delete.tooltip;Vymazat
dialog.edit_overlays.tab_presets;Předvolby
dialog.edit_overlays.tab_script;Skript
dialog.edit_overlays.create_overlay;Vytvořit překryv
dialog.change_nbt.title;Změnit NBT
dialog.change_nbt.change;změnit
dialog.change_nbt.change.tooltip;Změní hodnotu pouze pokud klíč existuje.
dialog.change_nbt.force;Vynutit
dialog.change_nbt.force.tooltip;Pokud tag neexistuje, vytvoří jej.
dialog.change_nbt.selection_only;Aplikovat pouze na výběr
dialog.change_nbt.selection_only.tooltip;Zda má být filtr aplikován pouze na aktuální výběr.
dialog.change_nbt_confirmation.title;Změnit NBT
dialog.change_nbt_confirmation.header_short;Chcete změnit data v neznámém počtu chunků vybraného světa.
dialog.change_nbt.tab_query;Dotaz
dialog.change_nbt.tab_script;Skript
dialog.edit_nbt.title;Upravit chunků
dialog.edit_nbt.placeholder.loading;načítání...
dialog.edit_nbt.placeholder.no_chunk_data;nebyly nalezeny žádné údaje o chunku
dialog.edit_nbt.placeholder.no_region_file;soubor regionu neexistuje
dialog.edit_array.index;Index
dialog.edit_array.value;Hodnota
dialog.about.title;O aplikaci
dialog.about.header;O aplikaci MCA Selector
dialog.about.version;Verze:
dialog.about.version.unknown;neznámá
dialog.about.version.check;zkontrolovat
dialog.about.version.checking;kontroluji...
dialog.about.version.up_to_date;Aktuální
dialog.about.version.error;Chyba
dialog.about.license;Licence:
dialog.about.copyright;Copyright:
dialog.about.source;Zdroj:
dialog.progress.no_files;žádné soubory
dialog.progress.running;probíhá...
dialog.progress.cancelling;rušení...
dialog.progress.collecting_data;sběr dat...
dialog.progress.done;hotovo.
dialog.progress.scanning_files;Skenování souborů...
dialog.progress.title.loading_world;Načítání světa...
dialog.progress.title.deleting_selection;Mazání výběru...
dialog.progress.title.creating_image;Vytváření obrázku...
dialog.progress.title.saving_image;Ukládání obrázku...
dialog.progress.title.exporting_selection;Exportování výběru...
dialog.progress.title.importing_chunks;Importování chunků...
dialog.progress.title.deleting_filtered_chunks;Mazání filtrovaných chunků...
dialog.progress.title.exporting_filtered_chunks;Exportování filtrovaných chunků...
dialog.progress.title.selecting_filtered_chunks;Vybírání filtrovaných chunků...
dialog.progress.title.changing_nbt_data;Měním NBT data...
dialog.progress.title.saving_chunk;Ukládání chunků do souboru...
dialog.progress.title.running_before;Proveďte "before()"...
dialog.progress.title.running_after;Provést "after()"...
dialog.progress.title.summing;Počet...
dialog.error.button.copy_to_clipboard;Zkopírovat do schránky
dialog.error.title;Chyba
dialog.error.header;Vyskytla se chyba
dialog.error.copied_to_clipboard;Zkopírováno do schránky!
dialog.unsaved_selection.title;Neuložený výběr
dialog.unsaved_selection.header;Existuje neuložený výběr.
dialog.unsaved_script.title;Neuklizený skript
dialog.unsaved_script.header;Existuje neuklizený skript.
dialog.request_number.title.array_length;Délka pole
dialog.request_number.title.enter_number;Hodnota
button.cancel;Zrušit
button.ok;OK
dialog.replace_blocks.builder.button;Builder
dialog.replace_blocks.builder.title;ReplaceBlocks Builder
dialog.replace_blocks.builder.from;From block
dialog.replace_blocks.builder.to;To block
dialog.replace_blocks.builder.add_rule;Add rule
dialog.replace_blocks.builder.delete_rule;Delete rule
dialog.replace_blocks.builder.rules;Rules
dialog.replace_blocks.builder.result;Generated ReplaceBlocks
dialog.replace_blocks.builder.invalid;Invalid block id or generated rule.
dialog.replace_blocks.builder.duplicate;This rule already exists.
dialog.replace_blocks.builder.empty;Add at least one rule.
dialog.replace_blocks.builder.advanced;Advanced text input remains available; from/to also accept block state SNBT with Name.
dialog.replace_blocks.builder.tile_source.any;Extra NBT: any
dialog.replace_blocks.builder.tile_source.require;Extra NBT: present
dialog.replace_blocks.builder.tile_source.exclude;Extra NBT: absent
dialog.replace_blocks.builder.property.all;all
dialog.replace_blocks.builder.help.button;Help
dialog.replace_blocks.builder.help.title;ReplaceBlocks Builder Help
dialog.replace_blocks.builder.help.nbt.title;Extra NBT source condition
dialog.replace_blocks.builder.help.nbt.intro;Extra NBT is block entity data stored at a block position, such as sign text, container items, furnace progress, or command block commands. This option only checks whether the source position has that data; it does not inspect the contents.
dialog.replace_blocks.builder.help.nbt.any;Extra NBT: any - match by block name and properties regardless of block entity data. Use this for normal blocks, or when replacing and discarding existing extra data is acceptable.
dialog.replace_blocks.builder.help.nbt.present;Extra NBT: present - match only positions that already have block entity data. Use this when deliberately targeting chests, barrels, signs, furnaces, spawners, or similar data blocks; generates tile(...).
dialog.replace_blocks.builder.help.nbt.absent;Extra NBT: absent - match only positions without block entity data. Use this to avoid container contents, sign text, and similar data, or to clean up unusual same-name blocks without entities; generates no_tile(...).
dialog.replace_blocks.builder.help.nbt.note;This setting filters only the source side. If the target needs block entity SNBT, continue using advanced text input.
dialog.replace_blocks.validation.source_empty;Enter a source block id.
dialog.replace_blocks.validation.target_empty;Enter a target block id.
dialog.replace_blocks.validation.source_unknown;Unknown source block "%s".
dialog.replace_blocks.validation.target_unknown;Unknown target block "%s".
dialog.replace_blocks.validation.source_format;Source block id must look like minecraft:stone or modid:block_name.
dialog.replace_blocks.validation.target_format;Target block id must look like minecraft:dirt or modid:block_name.
dialog.replace_blocks.validation.missing_equals;Each ReplaceBlocks rule needs from=to.
dialog.replace_blocks.validation.state_snbt;Block state SNBT must be a valid compound, for example {Name:"minecraft:stone"}.
dialog.replace_blocks.validation.tile_empty;Tile entity SNBT is missing after ;.
dialog.replace_blocks.validation.tile_snbt;Tile entity SNBT must be a valid compound.
dialog.replace_blocks.validation.trailing;Unexpected text after this rule. Separate rules with commas.
dialog.replace_blocks.validation.target_quote;Quoted target block is missing a closing quote.
dialog.replace_blocks.validation.quoted_target_ambiguous;Quoted target blocks are fragile before another rule or tile SNBT. Use {Name:"modid:block"} instead.
dialog.replace_blocks.validation.source_regex;Source "%s" is treated as a Java regex when matching blocks.
dialog.replace_blocks.validation.source_mode_wrapper;Source mode wrappers must be literal(...), regex(...), props(...), tile(...), or no_tile(...).
dialog.replace_blocks.validation.source_literal;literal(...) source must contain a valid block id. Invalid source: "%s".
dialog.replace_blocks.validation.source_regex_syntax;regex(...) source must contain a valid Java regex.
dialog.replace_blocks.validation.source_props;props(...) source must contain block-state SNBT with Name and at least one selected property.
dialog.change_nbt.query_invalid;Invalid change query: %s
dialog.change_nbt.replace_blocks_query_quote;In the advanced query field, wrap ReplaceBlocks values in double quotes, for example ReplaceBlocks = "minecraft:stone=minecraft:dirt".
dialog.replace_blocks.preview.button;Preview
dialog.replace_blocks.preview.title;ReplaceBlocks Preview
dialog.replace_blocks.preview.no_field;Enter a valid ReplaceBlocks value before running preview.
dialog.replace_blocks.preview.result;Dry-run completed.\nScanned regions: %d\nScanned chunks: %d\nAffected chunks: %d\nAffected sections: %d\nMatched blocks: %d\nTile entities to add: %d\nTile entities to remove: %d\nTile entities to update: %d
dialog.replace_blocks.preview.rules;Rule matches:
dialog.replace_blocks.preview.rule;#%d [%s] %s -> %s: %d
dialog.replace_blocks.preview.warning_air;Air replacement may complete missing sections before replacement. Preview counted %d missing or incomplete air sections.
dialog.replace_blocks.preview.warning_overlap;%d block positions matched more than one rule. Per-rule counts include each rule match, so their sum may be higher than matched blocks.
dialog.replace_blocks.preview.warning_tile;Tile entity replacement can add, remove, or update block entities. Test on copied worlds before applying.
dialog.replace_blocks.preview.warning_light;The current ReplaceBlocks implementation may remove light arrays from %d processed sections.
dialog.replace_blocks.preview.warning_heightmaps;Heightmaps are recomputed for processed chunks during the real change. Preview scanned %d chunks.
dialog.replace_blocks.preview.warning_unsupported;Preview is not implemented for %d scanned chunks in older or unsupported versions.
dialog.replace_blocks.preview.warning_errors;Preview skipped %d chunks and %d regions because of errors:
dialog.progress.title.preview_replace_blocks;Preview ReplaceBlocks
dialog.replace_blocks.validation.source_state_snbt;Source block state SNBT must be a valid compound with a Name value.
