status.region;region
dialog.import_chunks_confirmation.options.offset;Offset
dialog.import_chunks_confirmation.options.overwrite;Nadpisz istniejące chunki
dialog.import_chunks_confirmation.options.selection_only;Zastosuj tylko do zaznaczenia
dialog.import_chunks_confirmation.options.y_offset;Y-Offset
dialog.import_chunks_confirmation.options.sections;Sekcje
dialog.import_chunks_confirmation.warning;Uwaga: Importowanie chunków z offsetem nie zmieni zawartości bloków poleceń.
dialog.export_chunks_confirmation.title;Eksportuj chunki
dialog.export_chunks_confirmation.header_short;Zamierzasz wyeksportować nieokreśloną liczbę chunków z tego świata.
dialog.export_chunks_confirmation.header_verbose;Zamierzasz wyeksportować %d chunków z tego świata.
dialog.import_selection.title;Importuj zaznaczenie z .csv
dialog.import_selection.header;Ten świat ma już wybór.\nJak należy zaimportować nowy wybór?
dialog.import_selection.overwrite;Przepisać
dialog.import_selection.merge;Dodać
dialog.import_selection.subtract;Odejmij
dialog.filter_chunks.title;Filtruj chunki
dialog.filter_chunks.filter.add.tooltip;Dodaj nowy warunek poniżej
dialog.filter_chunks.filter.delete.tooltip;Usuń ten warunek
dialog.filter_chunks.filter.type.tooltip;Typ warunku
dialog.filter_chunks.filter.operator.tooltip;Operator łączący kilka warunków.
dialog.filter_chunks.filter.comparator.tooltip;Względność między warunkiem a wartością.
dialog.filter_chunks.select;Zaznacz
dialog.filter_chunks.select.tooltip;Zaznacza chunki wybrane przez filtr.
dialog.filter_chunks.export;Eksportuj
dialog.filter_chunks.export.tooltip;Eksportuje wszystkie wybrane przez filtr chunki do nowego katalogu.
dialog.filter_chunks.delete;Usuń
dialog.filter_chunks.delete.tooltip;Usuwa ze świata chunki wybrane przez filtr.
dialog.filter_chunks.selection_only;Zastosuj tylko do zaznaczenia
dialog.filter_chunks.add_selection;Dodaj zaznaczenie
dialog.filter_chunks.subtract_selection;Odejmij zaznaczenie
dialog.filter_chunks.selection_radius;Promień zaznaczenia
dialog.filter_chunks.tab_query;Zapytanie
dialog.filter_chunks.tab_script;Scenariusz
dialog.edit_overlays.title;Edytuj nakładki
dialog.edit_overlays.overlay_active.tooltip;Aktywny
dialog.edit_overlays.delete.tooltip;Usunąć
dialog.edit_overlays.tab_presets;Nakładki
dialog.edit_overlays.tab_script;Skrypt
dialog.edit_overlays.create_overlay;Utwórz nakładkę
dialog.change_nbt.title;Zmień NBT
dialog.change_nbt.change;Zmień
dialog.change_nbt.change.tooltip;Zmienia wartość tylko jeśli jej klucz istnieje.
dialog.change_nbt.force;Wymuś
dialog.change_nbt.force.tooltip;Tworzy tag jeśli nie istnieje.
dialog.change_nbt.selection_only;Zastosuj tylko do zaznaczenia
dialog.change_nbt.selection_only.tooltip;Zaznacz jeśli chcesz wprowadzać zmiany tylko w obecnym zaznaczeniu.
dialog.change_nbt_confirmation.title;Zmień NBT
dialog.change_nbt_confirmation.header_short;Zamierzasz zmienić dane w nieznanej ilości chunków w tym świecie.
dialog.change_nbt.tab_query;Zapytanie
dialog.change_nbt.tab_script;Scenariusz
dialog.edit_nbt.title;Edytuj chunk
dialog.edit_nbt.placeholder.loading;ładowanie...
dialog.edit_nbt.placeholder.no_chunk_data;nie znaleziono danych chunków
dialog.edit_nbt.placeholder.no_region_file;plik regionu nie istnieje
dialog.edit_array.index;Indeks
dialog.edit_array.value;Wartość
dialog.about.title;O programie MCA Selector
dialog.about.header;O programie MCA Selector
dialog.about.version;Wersja:
dialog.about.version.unknown;nieznany
dialog.about.version.check;sprawdź
dialog.about.version.checking;sprawdzanie...
dialog.about.version.up_to_date;Up to date
dialog.about.version.error;Błąd
dialog.about.license;Licencja:
dialog.about.copyright;Prawa autorskie:
dialog.about.source;Źródło:
dialog.progress.no_files;brak plików
dialog.progress.running;praca w toku...
dialog.progress.cancelling;anulowanie...
dialog.progress.collecting_data;zbieranie informacji...
dialog.progress.done;Gotowe.
dialog.progress.scanning_files;Skanowanie plików...
dialog.progress.title.loading_world;Ładowanie świata...
dialog.progress.title.deleting_selection;Usuwanie zaznaczenia...
dialog.progress.title.creating_image;Tworzę obraz...
dialog.progress.title.saving_image;Zapisywanie obrazu...
dialog.progress.title.exporting_selection;Eksportowanie zaznaczenia...
dialog.progress.title.importing_chunks;Importowanie chunków...
dialog.progress.title.deleting_filtered_chunks;Filtrowanie i usuwanie...
dialog.progress.title.exporting_filtered_chunks;Filtrowanie i eksportowanie...
dialog.progress.title.selecting_filtered_chunks;Filtrowanie i zaznaczanie...
dialog.progress.title.changing_nbt_data;Zmienianie danych NBT...
dialog.progress.title.saving_chunk;Zapisywanie fragmentu do pliku...
dialog.progress.title.running_before;Wykonaj "before()"...
dialog.progress.title.running_after;Wykonaj "after()"...
dialog.progress.title.summing;Policz kwotę...
dialog.error.button.copy_to_clipboard;Skopiuj do schowka
dialog.error.title;Błąd
dialog.error.header;Wystąpił błąd
dialog.error.copied_to_clipboard;Skopiowane do schowka!
dialog.unsaved_selection.title;Niezapisany wybór
dialog.unsaved_selection.header;Istnieje niezapisany wybór.
dialog.unsaved_script.title;Niezapisany skrypt
dialog.unsaved_script.header;Istnieje niezapisany skrypt.
dialog.request_number.title.array_length;Długość tablicy
dialog.request_number.title.enter_number;Wartość
button.cancel;Anuluj
button.ok;OK
dialog.replace_blocks.builder.button;Builder
dialog.replace_blocks.builder.title;ReplaceBlocks Builder
dialog.replace_blocks.builder.from;From block
dialog.replace_blocks.builder.to;To block
dialog.replace_blocks.builder.add_rule;Add rule
dialog.replace_blocks.builder.delete_rule;Delete rule
dialog.replace_blocks.builder.rules;Rules
dialog.replace_blocks.builder.result;Generated ReplaceBlocks
dialog.replace_blocks.builder.invalid;Invalid block id or generated rule.
dialog.replace_blocks.builder.duplicate;This rule already exists.
dialog.replace_blocks.builder.empty;Add at least one rule.
dialog.replace_blocks.builder.advanced;Advanced text input remains available; from/to also accept block state SNBT with Name.
dialog.replace_blocks.builder.tile_source.any;Extra NBT: any
dialog.replace_blocks.builder.tile_source.require;Extra NBT: present
dialog.replace_blocks.builder.tile_source.exclude;Extra NBT: absent
dialog.replace_blocks.builder.y_min;Min Y
dialog.replace_blocks.builder.y_max;Max Y
dialog.replace_blocks.builder.biome;Biome
dialog.replace_blocks.builder.biome.prompt;minecraft:plains;minecraft:forest
dialog.replace_blocks.builder.preset;Preset
dialog.replace_blocks.builder.preset.prompt;Choose preset
dialog.replace_blocks.builder.preset.apply;Use preset
dialog.replace_blocks.builder.preset.air_to_stone;Air -> stone
dialog.replace_blocks.builder.preset.fluids_to_air;Fluids -> air
dialog.replace_blocks.builder.preset.logs_leaves_to_air;Logs/leaves -> air
dialog.replace_blocks.builder.preset.ores_to_stone;Ores -> stone
dialog.replace_blocks.builder.preset.containers_to_air;Containers with Extra NBT -> air
dialog.replace_blocks.builder.preset.warning_air;Air replacement can create missing or sparse sections. Preview on a small copied selection first.
dialog.replace_blocks.builder.preset.warning_containers;The container preset matches only positions with Extra NBT present, but replacing them can remove stored contents. Preview on a copied world first.
dialog.replace_blocks.builder.property.all;all
dialog.replace_blocks.builder.help.button;Help
dialog.replace_blocks.builder.help.title;ReplaceBlocks Builder Help
dialog.replace_blocks.builder.help.nbt.title;Extra NBT source condition
dialog.replace_blocks.builder.help.nbt.intro;Extra NBT is block entity data stored at a block position, such as sign text, container items, furnace progress, or command block commands. This option only checks whether the source position has that data; it does not inspect the contents.
dialog.replace_blocks.builder.help.nbt.any;Extra NBT: any - match by block name and properties regardless of block entity data. Use this for normal blocks, or when replacing and discarding existing extra data is acceptable.
dialog.replace_blocks.builder.help.nbt.present;Extra NBT: present - match only positions that already have block entity data. Use this when deliberately targeting chests, barrels, signs, furnaces, spawners, or similar data blocks; generates tile(...).
dialog.replace_blocks.builder.help.nbt.absent;Extra NBT: absent - match only positions without block entity data. Use this to avoid container contents, sign text, and similar data, or to clean up unusual same-name blocks without entities; generates no_tile(...).
dialog.replace_blocks.builder.help.nbt.note;This setting filters only the source side. If the target needs block entity SNBT, continue using advanced text input.
dialog.replace_blocks.builder.help.biome.title;Biome condition
dialog.replace_blocks.builder.help.biome.intro;Biome filtering checks the biome at each candidate block position. In modern 1.18+ chunks, one biome value covers a 4x4x4 block area, so nearby blocks in that cell share the same biome condition.
dialog.replace_blocks.builder.help.biome.syntax;Leave the Builder biome field empty for no biome restriction. Enter one biome id or multiple ids separated by semicolons; generated rules use biome(..., source).
dialog.replace_blocks.validation.source_empty;Enter a source block id.
dialog.replace_blocks.validation.target_empty;Enter a target block id.
dialog.replace_blocks.validation.source_unknown;Unknown source block "%s".
dialog.replace_blocks.validation.target_unknown;Unknown target block "%s".
dialog.replace_blocks.validation.source_format;Source block id must look like minecraft:stone or modid:block_name.
dialog.replace_blocks.validation.target_format;Target block id must look like minecraft:dirt or modid:block_name.
dialog.replace_blocks.validation.missing_equals;Each ReplaceBlocks rule needs from=to.
dialog.replace_blocks.validation.state_snbt;Block state SNBT must be a valid compound, for example {Name:"minecraft:stone"}.
dialog.replace_blocks.validation.tile_empty;Tile entity SNBT is missing after ;.
dialog.replace_blocks.validation.tile_snbt;Tile entity SNBT must be a valid compound.
dialog.replace_blocks.validation.trailing;Unexpected text after this rule. Separate rules with commas.
dialog.replace_blocks.validation.target_quote;Quoted target block is missing a closing quote.
dialog.replace_blocks.validation.quoted_target_ambiguous;Quoted target blocks are fragile before another rule or tile SNBT. Use {Name:"modid:block"} instead.
dialog.replace_blocks.validation.source_regex;Source "%s" is treated as a Java regex when matching blocks.
dialog.replace_blocks.validation.source_mode_wrapper;Source mode wrappers must be literal(...), regex(...), props(...), tile(...), or no_tile(...).
dialog.replace_blocks.validation.source_literal;literal(...) source must contain a valid block id. Invalid source: "%s".
dialog.replace_blocks.validation.source_regex_syntax;regex(...) source must contain a valid Java regex.
dialog.replace_blocks.validation.source_props;props(...) source must contain block-state SNBT with Name and at least one selected property.
dialog.replace_blocks.validation.source_y_range;y(...) source must use min..max with at least one integer boundary, for example y(-64..64, literal(minecraft:stone)).
dialog.replace_blocks.validation.source_biome;biome(...) source must use valid biome IDs separated by semicolons, followed by a source expression, for example biome(minecraft:plains, literal(minecraft:stone)).
dialog.change_nbt.query_invalid;Invalid change query: %s
dialog.change_nbt.replace_blocks_query_quote;In the advanced query field, wrap ReplaceBlocks values in double quotes, for example ReplaceBlocks = "minecraft:stone=minecraft:dirt".
dialog.replace_blocks.preview.button;Preview
dialog.replace_blocks.preview.title;ReplaceBlocks Preview
dialog.replace_blocks.preview.no_field;Enter a valid ReplaceBlocks value before running preview.
dialog.replace_blocks.preview.result;Dry-run completed.\nScanned regions: %d\nScanned chunks: %d\nAffected chunks: %d\nAffected sections: %d\nMatched blocks: %d\nTile entities to add: %d\nTile entities to remove: %d\nTile entities to update: %d
dialog.replace_blocks.preview.rules;Rule matches:
dialog.replace_blocks.preview.rule;#%d [%s] %s -> %s: %d
dialog.replace_blocks.preview.warning_air;Air replacement may complete missing sections before replacement. Preview counted %d missing or incomplete air sections.
dialog.replace_blocks.preview.warning_overlap;%d block positions matched more than one rule. Per-rule counts include each rule match, so their sum may be higher than matched blocks.
dialog.replace_blocks.preview.warning_tile;Tile entity replacement can add, remove, or update block entities. Test on copied worlds before applying.
dialog.replace_blocks.preview.warning_light;The current ReplaceBlocks implementation may remove light arrays from %d processed sections.
dialog.replace_blocks.preview.warning_heightmaps;Heightmaps are recomputed for processed chunks during the real change. Preview scanned %d chunks.
dialog.replace_blocks.preview.warning_unsupported;Preview is not implemented for %d scanned chunks in older or unsupported versions.
dialog.replace_blocks.preview.warning_errors;Preview skipped %d chunks and %d regions because of errors:
dialog.progress.title.preview_replace_blocks;Preview ReplaceBlocks
dialog.replace_blocks.validation.source_state_snbt;Source block state SNBT must be a valid compound with a Name value.
