status.region;區域
dialog.settings.rendering.smooth.smooth_overlays;平滑疊加
dialog.settings.rendering.background.background_pattern;背景圖案
dialog.settings.rendering.background;背景
dialog.settings.global.misc.mc_saves_dir;MC 儲存目錄
dialog.settings.global.misc.print_debug;打印調試信息
dialog.settings.global.misc.show_log_file;顯示日誌檔案
dialog.settings.reset;重置
dialog.settings.tab_global;全域
dialog.settings.tab_processing;處理
dialog.settings.tab_rendering;渲染
dialog.settings.tab_world;世界
dialog.settings.global.misc;雜項
dialog.settings.processing.files;檔案
dialog.settings.rendering.smooth;光滑的
dialog.settings.global.selection;選擇
dialog.settings.world.paths;路徑
dialog.settings.world.paths.poi;興趣點
dialog.settings.world.paths.entities;實體
dialog.settings.rendering.layers.render_height;渲染高度
dialog.settings.rendering.layers.render_layer_only;僅渲染層
dialog.settings.rendering.layers;圖層
dialog.settings.rendering.structure_icons;結構圖示
dialog.settings.rendering.structure_icon_size;圖示大小
dialog.settings.rendering.structure_icon_border_size;邊框大小
dialog.settings.rendering.layers.render_caves;渲染洞穴
dialog.goto.title;前往位置
dialog.confirmation.question;您確定嗎？
dialog.delete_chunks_confirmation.title;刪除區塊
dialog.delete_chunks_confirmation.header_short;您將要從這個世界中刪除未知數量的區塊。
dialog.delete_chunks_confirmation.header_verbose;您將要從這個世界中刪除 %d 個區塊。
dialog.image_export_confirmation.title;匯出圖片
dialog.image_export_confirmation.header_short;您將要建立比例未知的圖像。
dialog.image_export_confirmation.header_verbose;您將要建立尺寸為 %dx%d 的圖像。
dialog.import_chunks_confirmation.title;匯入區塊
dialog.import_chunks_confirmation.header;您將要向這個世界匯入未知數量的區塊。
dialog.import_chunks_confirmation.options;選項
dialog.import_chunks_confirmation.options.offset;偏移
dialog.import_chunks_confirmation.options.overwrite;覆蓋現有區塊
dialog.import_chunks_confirmation.options.selection_only;僅適用於已選擇的內容
dialog.import_chunks_confirmation.options.y_offset;Y 軸偏移
dialog.import_chunks_confirmation.options.sections;部分
dialog.import_chunks_confirmation.warning;警告：匯入區塊時使用偏移並不會更新指令方塊的內容。
dialog.export_chunks_confirmation.title;匯出區塊
dialog.export_chunks_confirmation.header_short;您將要從這個世界匯出未知數量的區塊。
dialog.export_chunks_confirmation.header_verbose;您將要從這個世界匯出 %d 個區塊。
dialog.import_selection.title;從 .csv 導入選擇
dialog.import_selection.header;這個世界已經有一個選擇。\n應該如何導入新的選擇？
dialog.import_selection.overwrite;覆蓋
dialog.import_selection.merge;添加
dialog.import_selection.subtract;相減
dialog.filter_chunks.title;篩選區塊
dialog.filter_chunks.filter.add.tooltip;在此條件下增加新條件。
dialog.filter_chunks.filter.delete.tooltip;刪除此條件。
dialog.filter_chunks.filter.type.tooltip;此條件的類型。
dialog.filter_chunks.filter.operator.tooltip;多個條件間的邏輯比較。
dialog.filter_chunks.filter.comparator.tooltip;邏輯比較符號。
dialog.filter_chunks.select;選擇
dialog.filter_chunks.select.tooltip;選擇受影響的區塊。
dialog.filter_chunks.export;匯出
dialog.filter_chunks.export.tooltip;將所有受影響的區塊匯出到新目錄中。
dialog.filter_chunks.delete;刪除
dialog.filter_chunks.delete.tooltip;從這個世界中刪除所有受影響的區塊。
dialog.filter_chunks.selection_only;僅適用於已選擇的內容
dialog.filter_chunks.add_selection;新增選取內容
dialog.filter_chunks.subtract_selection;減去選取內容
dialog.filter_chunks.selection_radius;選擇半徑
dialog.filter_chunks.tab_query;詢問
dialog.filter_chunks.tab_script;腳本
dialog.edit_overlays.title;編輯疊加
dialog.edit_overlays.overlay_active.tooltip;已啟用
dialog.edit_overlays.delete.tooltip;刪除
dialog.edit_overlays.tab_presets;圖層預設
dialog.edit_overlays.tab_script;腳本
dialog.edit_overlays.create_overlay;建立圖層
dialog.change_nbt.title;變更 NBT
dialog.change_nbt.change;變更
dialog.change_nbt.change.tooltip;僅當其鍵存在時變更其值。
dialog.change_nbt.force;強制
dialog.change_nbt.force.tooltip;如果標記不存在時則建立標記。
dialog.change_nbt.selection_only;僅適用於已選擇的內容
dialog.change_nbt.selection_only.tooltip;此篩選器是否只套用於已選擇的內容。
dialog.change_nbt_confirmation.title;變更 NBT
dialog.change_nbt_confirmation.header_short;您將要在此世界中變更未知數量的區塊的資料。
dialog.change_nbt.tab_query;詢問
dialog.change_nbt.tab_script;腳本
dialog.edit_nbt.title;編輯區塊
dialog.edit_nbt.placeholder.loading;載入中…
dialog.edit_nbt.placeholder.no_chunk_data;找不到塊數據
dialog.edit_nbt.placeholder.no_region_file;區域檔案不存在
dialog.edit_array.index;索引
dialog.edit_array.value;值
dialog.about.title;關於
dialog.about.header;關於 MCA Selector
dialog.about.version;版本：
dialog.about.version.unknown;未知
dialog.about.version.check;檢查更新
dialog.about.version.checking;檢查更新中…
dialog.about.version.up_to_date;最新
dialog.about.version.error;錯誤
dialog.about.license;許可：
dialog.about.copyright;版權：
dialog.about.source;來源：
dialog.progress.no_files;沒有檔案
dialog.progress.running;正在執行…
dialog.progress.cancelling;正在取消…
dialog.progress.collecting_data;正在收集資料…
dialog.progress.done;完成。
dialog.progress.scanning_files;正在掃描檔案...
dialog.progress.title.loading_world;正在載入世界...
dialog.progress.title.deleting_selection;正在刪除所選項目…
dialog.progress.title.creating_image;正在建立圖片…
dialog.progress.title.saving_image;正在儲存圖片…
dialog.progress.title.exporting_selection;正在匯出所選項目…
dialog.progress.title.importing_chunks;正在匯入區塊…
dialog.progress.title.deleting_filtered_chunks;正在刪除篩選區塊…
dialog.progress.title.exporting_filtered_chunks;正在匯出篩選區塊…
dialog.progress.title.selecting_filtered_chunks;正在選擇篩選區塊…
dialog.progress.title.changing_nbt_data;正在變更 NBT 資料…
dialog.progress.title.saving_chunk;正在將塊儲存到檔案…
dialog.progress.title.running_before;執行“before()”...
dialog.progress.title.running_after;執行“after()”...
dialog.progress.title.summing;數一下金額...
dialog.error.button.copy_to_clipboard;複製到剪貼簿
dialog.error.title;錯誤
dialog.error.header;發生錯誤
dialog.error.copied_to_clipboard;已複製到剪貼簿！
dialog.unsaved_selection.title;未儲存的更改
dialog.unsaved_selection.header;您有未儲存的更改。
dialog.unsaved_script.title;未保存的腳本
dialog.unsaved_script.header;有一個未保存的腳本。
dialog.request_number.title.array_length;數組的長度
dialog.request_number.title.enter_number;價值
button.cancel;取消
button.ok;確定
dialog.replace_blocks.builder.button;Builder
dialog.replace_blocks.builder.title;ReplaceBlocks Builder
dialog.replace_blocks.builder.from;From block
dialog.replace_blocks.builder.to;To block
dialog.replace_blocks.builder.add_rule;Add rule
dialog.replace_blocks.builder.delete_rule;Delete rule
dialog.replace_blocks.builder.rules;Rules
dialog.replace_blocks.builder.result;Generated ReplaceBlocks
dialog.replace_blocks.builder.invalid;Invalid block id or generated rule.
dialog.replace_blocks.builder.duplicate;這條規則已存在。
dialog.replace_blocks.builder.empty;Add at least one rule.
dialog.replace_blocks.builder.advanced;高级文本输入仍可用；from/to 也可输入包含 Name 的方块状态 SNBT。
dialog.replace_blocks.builder.tile_source.any;附加NBT：不限
dialog.replace_blocks.builder.tile_source.require;附加NBT：有
dialog.replace_blocks.builder.tile_source.exclude;附加NBT：无
dialog.replace_blocks.builder.y_min;最低 Y
dialog.replace_blocks.builder.y_max;最高 Y
dialog.replace_blocks.builder.property.all;全部
dialog.replace_blocks.builder.help.button;帮助
dialog.replace_blocks.builder.help.title;ReplaceBlocks Builder 帮助
dialog.replace_blocks.builder.help.nbt.title;附加 NBT 条件
dialog.replace_blocks.builder.help.nbt.intro;附加 NBT 是保存在方块位置上的额外数据，例如告示牌文字、箱子物品、熔炉进度或命令方块命令。这里的选项只判断来源方块位置是否有这类数据，不检查具体内容。
dialog.replace_blocks.builder.help.nbt.any;附加NBT：不限 - 只按方块名称和属性匹配；有无附加数据都可以。适合普通方块，或你确定可以替换并丢弃原有附加数据的情况。
dialog.replace_blocks.builder.help.nbt.present;附加NBT：有 - 只匹配已经带有附加数据的位置。适合专门处理箱子、木桶、告示牌、熔炉、刷怪笼等数据方块；生成 tile(...)。
dialog.replace_blocks.builder.help.nbt.absent;附加NBT：无 - 只匹配没有附加数据的位置。适合避开容器内容、告示牌文字等数据，或清理异常的同名无实体方块；生成 no_tile(...)。
dialog.replace_blocks.builder.help.nbt.note;该设置只过滤来源方块。目标方块如果需要写入方块实体 SNBT，目前仍通过高级文本输入完成。
dialog.replace_blocks.validation.source_empty;请输入来源方块 ID。
dialog.replace_blocks.validation.target_empty;请输入目标方块 ID。
dialog.replace_blocks.validation.source_unknown;未知来源方块 "%s"。
dialog.replace_blocks.validation.target_unknown;未知目标方块 "%s"。
dialog.replace_blocks.validation.source_format;来源方块 ID 应类似 minecraft:stone 或 modid:block_name。
dialog.replace_blocks.validation.target_format;目标方块 ID 应类似 minecraft:dirt 或 modid:block_name。
dialog.replace_blocks.validation.missing_equals;每条 ReplaceBlocks 规则都需要 from=to。
dialog.replace_blocks.validation.state_snbt;方块状态 SNBT 必须是合法 compound，例如 {Name:"minecraft:stone"}。
dialog.replace_blocks.validation.tile_empty;; 后缺少方块实体 SNBT。
dialog.replace_blocks.validation.tile_snbt;方块实体 SNBT 必须是合法 compound。
dialog.replace_blocks.validation.trailing;规则后有意外文本。多条规则请用逗号分隔。
dialog.replace_blocks.validation.target_quote;带引号的目标方块缺少结束引号。
dialog.replace_blocks.validation.quoted_target_ambiguous;带引号的目标方块接多规则或 tile SNBT 时较脆弱。请改用 {Name:"modid:block"}。
dialog.replace_blocks.validation.source_regex;来源 "%s" 在匹配方块时会被当作 Java 正则。
dialog.replace_blocks.validation.source_mode_wrapper;来源模式包装器必须是 literal(...)、regex(...)、props(...)、tile(...) 或 no_tile(...)。
dialog.replace_blocks.validation.source_literal;literal(...) 來源必須包含有效方塊 ID。無效來源：「%s」。
dialog.replace_blocks.validation.source_regex_syntax;regex(...) 來源必須包含有效的 Java 正則。
dialog.replace_blocks.validation.source_props;props(...) 來源必須包含帶 Name 且至少選擇一個屬性的方塊狀態 SNBT。
dialog.replace_blocks.validation.source_y_range;y(...) 來源必須使用 min..max，並且至少填寫一個整數邊界，例如 y(-64..64, literal(minecraft:stone))。
dialog.change_nbt.query_invalid;更改查询无效：%s
dialog.change_nbt.replace_blocks_query_quote;在高级查询框中，ReplaceBlocks 的值需要用英文双引号包住，例如 ReplaceBlocks = "minecraft:stone=minecraft:dirt"。
dialog.replace_blocks.preview.button;预览
dialog.replace_blocks.preview.title;ReplaceBlocks 预览
dialog.replace_blocks.preview.no_field;请先输入有效的 ReplaceBlocks 值，再运行预览。
dialog.replace_blocks.preview.result;Dry-run 完成。\n扫描 region：%d\n扫描 chunk：%d\n受影响 chunk：%d\n受影响 section：%d\n匹配方块数：%d\n将新增方块实体：%d\n将移除方块实体：%d\n将更新方块实体：%d
dialog.replace_blocks.preview.rules;规则命中：
dialog.replace_blocks.preview.rule;#%d [%s] %s -> %s：%d
dialog.replace_blocks.preview.warning_air;替换 air 可能会先补全缺失 section。预览已计入 %d 个缺失或不完整的 air section。
dialog.replace_blocks.preview.warning_overlap;%d 个方块位置同时命中多条规则。逐规则计数会分别计入每条命中规则，所以合计可能高于匹配方块数。
dialog.replace_blocks.preview.warning_tile;方块实体替换可能新增、移除或更新 block entity。正式应用前请先用复制世界测试。
dialog.replace_blocks.preview.warning_light;当前 ReplaceBlocks 实现可能会移除 %d 个已处理 section 的光照数组。
dialog.replace_blocks.preview.warning_heightmaps;真实修改时会对已处理 chunk 重算 heightmap。预览扫描了 %d 个 chunk。
dialog.replace_blocks.preview.warning_unsupported;有 %d 个已扫描 chunk 属于较旧或暂不支持版本，未进行预览。
dialog.replace_blocks.preview.warning_errors;预览因错误跳过了 %d 个 chunk 和 %d 个 region：
dialog.progress.title.preview_replace_blocks;预览 ReplaceBlocks
dialog.replace_blocks.validation.source_state_snbt;来源方块状态 SNBT 必须是包含 Name 的合法 compound。
