status.region;region
dialog.import_chunks_confirmation.options.selection_only;Alleen van toepassing op selectie
dialog.import_chunks_confirmation.options.y_offset;Y-offset
dialog.import_chunks_confirmation.options.sections;Secties
dialog.import_chunks_confirmation.warning;Waarschuwing: Importeren van verplaatste chunks update niet de inhoud van command blocks.
dialog.export_chunks_confirmation.title;Chunks exporteren
dialog.export_chunks_confirmation.header_short;Je staat op het punt een onbekend aantal chunks uit deze wereld te exporteren.
dialog.export_chunks_confirmation.header_verbose;Je staat op het punt %d chunks uit deze wereld te exporteren.
dialog.import_selection.title;Selectie importeren uit .csv
dialog.import_selection.header;Deze wereld heeft al een selectie.\nHoe moet de nieuwe selectie geïmporteerd worden?
dialog.import_selection.overwrite;Overschrijven
dialog.import_selection.merge;Optellen
dialog.import_selection.subtract;Aftrekken
dialog.filter_chunks.title;Chunks filteren
dialog.filter_chunks.filter.add.tooltip;Voeg een nieuwe voorwaarde hieronder toe.
dialog.filter_chunks.filter.delete.tooltip;Verwijder deze voorwaarde.
dialog.filter_chunks.filter.type.tooltip;Het type van deze voorwaarde.
dialog.filter_chunks.filter.operator.tooltip;De operator om meerdere voorwaarden te koppelen.
dialog.filter_chunks.filter.comparator.tooltip;The vergelijker.
dialog.filter_chunks.select;Selecteren
dialog.filter_chunks.select.tooltip;Creëert een selectie van de aangepaste chunks.
dialog.filter_chunks.export;Exporteren
dialog.filter_chunks.export.tooltip;Exporteert alle aangepaste chunks in een nieuwe map.
dialog.filter_chunks.delete;Verwijderen
dialog.filter_chunks.delete.tooltip;Verwijdert alle aangepaste chunks uit de huidige wereld.
dialog.filter_chunks.selection_only;Alleen van toepassing op selectie
dialog.filter_chunks.add_selection;Selectie toevoegen
dialog.filter_chunks.subtract_selection;Selectie aftrekken
dialog.filter_chunks.selection_radius;Selectie radius
dialog.filter_chunks.tab_query;Vraag
dialog.filter_chunks.tab_script;Script
dialog.edit_overlays.title;Bewerk overlays
dialog.edit_overlays.overlay_active.tooltip;Actief
dialog.edit_overlays.delete.tooltip;Verwijderen
dialog.edit_overlays.tab_presets;Overlay's
dialog.edit_overlays.tab_script;script
dialog.edit_overlays.create_overlay;Overlay maken
dialog.change_nbt.title;NBT aanpassen
dialog.change_nbt.change;Aanpassen
dialog.change_nbt.change.tooltip;Past de waarde alleen aan als de bijbehorende sleutel bestaat.
dialog.change_nbt.force;Forceer
dialog.change_nbt.force.tooltip;Creëert het label als het niet bestaat.
dialog.change_nbt.selection_only;Alleen van toepassing op selectie
dialog.change_nbt.selection_only.tooltip;Of dit filter alleen van toepassing is op de huidige selectie.
dialog.change_nbt_confirmation.title;NBT aanpassen
dialog.change_nbt_confirmation.header_short;Je staat op het punt de gegevens van een onbekend aantal chunks in deze wereld te veranderen.
dialog.change_nbt.tab_query;Vraag
dialog.change_nbt.tab_script;Script
dialog.edit_nbt.title;Chunk aanpassen
dialog.edit_nbt.placeholder.loading;bezig met laden...
dialog.edit_nbt.placeholder.no_chunk_data;geen chunk gegevens gevonden
dialog.edit_nbt.placeholder.no_region_file;region bestand bestaat niet
dialog.edit_array.index;Index
dialog.edit_array.value;Waarde
dialog.about.title;Over
dialog.about.header;Over MCA Selector
dialog.about.version;Versie:
dialog.about.version.unknown;onbekend
dialog.about.version.check;controleren
dialog.about.version.checking;bezig met controleren...
dialog.about.version.up_to_date;Actueel
dialog.about.version.error;Fout
dialog.about.license;Licentie:
dialog.about.copyright;Auteursrechten:
dialog.about.source;Bron:
dialog.progress.no_files;geen bestanden
dialog.progress.running;lopend...
dialog.progress.cancelling;wordt geannuleerd...
dialog.progress.collecting_data;gegevens verzamelen...
dialog.progress.done;klaar.
dialog.progress.scanning_files;Bestanden scannen...
dialog.progress.title.loading_world;Wereld wordt geladen...
dialog.progress.title.deleting_selection;Selectie verwijderen...
dialog.progress.title.creating_image;Afbeelding maken...
dialog.progress.title.saving_image;Afbeelding opslaan...
dialog.progress.title.exporting_selection;Selectie exporteren...
dialog.progress.title.importing_chunks;Chunks importeren...
dialog.progress.title.deleting_filtered_chunks;Gefilterde chunks verwijderen...
dialog.progress.title.exporting_filtered_chunks;Gefilterde chunks exporteren...
dialog.progress.title.selecting_filtered_chunks;Gefilterde chunks selecteren...
dialog.progress.title.changing_nbt_data;NBT gegevens aanpassen...
dialog.progress.title.saving_chunk;Chunk opslaan in bestand...
dialog.progress.title.running_before;Voer "before()" uit...
dialog.progress.title.running_after;Voer "after()" uit...
dialog.progress.title.summing;Tel het bedrag...
dialog.error.button.copy_to_clipboard;Kopieer naar klembord
dialog.error.title;Fout
dialog.error.header;Er is een fout opgetreden
dialog.error.copied_to_clipboard;Gekopieerd naar het klembord!
dialog.unsaved_selection.title;Niet-opgeslagen selectie
dialog.unsaved_selection.header;Er is een niet-opgeslagen selectie.
dialog.unsaved_script.title;Niet-opgeslagen script
dialog.unsaved_script.header;Er is een niet-opgeslagen script.
dialog.request_number.title.array_length;Lengte van de array
dialog.request_number.title.enter_number;Waarde
button.cancel;Annuleren
button.ok;OK
dialog.replace_blocks.builder.button;Builder
dialog.replace_blocks.builder.title;ReplaceBlocks Builder
dialog.replace_blocks.builder.from;From block
dialog.replace_blocks.builder.to;To block
dialog.replace_blocks.builder.add_rule;Add rule
dialog.replace_blocks.builder.delete_rule;Delete rule
dialog.replace_blocks.builder.rules;Rules
dialog.replace_blocks.builder.result;Generated ReplaceBlocks
dialog.replace_blocks.builder.invalid;Invalid block id or generated rule.
dialog.replace_blocks.builder.duplicate;This rule already exists.
dialog.replace_blocks.builder.empty;Add at least one rule.
dialog.replace_blocks.builder.advanced;Advanced text input remains available; from/to also accept block state SNBT with Name.
dialog.replace_blocks.builder.tile_source.any;Extra NBT: any
dialog.replace_blocks.builder.tile_source.require;Extra NBT: present
dialog.replace_blocks.builder.tile_source.exclude;Extra NBT: absent
dialog.replace_blocks.builder.y_min;Min Y
dialog.replace_blocks.builder.y_max;Max Y
dialog.replace_blocks.builder.biome;Biome
dialog.replace_blocks.builder.biome.prompt;minecraft:plains;minecraft:forest
dialog.replace_blocks.builder.preset;Preset
dialog.replace_blocks.builder.preset.prompt;Choose preset
dialog.replace_blocks.builder.preset.apply;Use preset
dialog.replace_blocks.builder.preset.air_to_stone;Air -> stone
dialog.replace_blocks.builder.preset.fluids_to_air;Fluids -> air
dialog.replace_blocks.builder.preset.logs_leaves_to_air;Logs/leaves -> air
dialog.replace_blocks.builder.preset.ores_to_stone;Ores -> stone
dialog.replace_blocks.builder.preset.containers_to_air;Containers with Extra NBT -> air
dialog.replace_blocks.builder.preset.warning_air;Air replacement can create missing or sparse sections. Preview on a small copied selection first.
dialog.replace_blocks.builder.preset.warning_containers;The container preset matches only positions with Extra NBT present, but replacing them can remove stored contents. Preview on a copied world first.
dialog.replace_blocks.builder.property.all;all
dialog.replace_blocks.builder.help.button;Help
dialog.replace_blocks.builder.help.title;ReplaceBlocks Builder Help
dialog.replace_blocks.builder.help.nbt.title;Extra NBT source condition
dialog.replace_blocks.builder.help.nbt.intro;Extra NBT is block entity data stored at a block position, such as sign text, container items, furnace progress, or command block commands. This option only checks whether the source position has that data; it does not inspect the contents.
dialog.replace_blocks.builder.help.nbt.any;Extra NBT: any - match by block name and properties regardless of block entity data. Use this for normal blocks, or when replacing and discarding existing extra data is acceptable.
dialog.replace_blocks.builder.help.nbt.present;Extra NBT: present - match only positions that already have block entity data. Use this when deliberately targeting chests, barrels, signs, furnaces, spawners, or similar data blocks; generates tile(...).
dialog.replace_blocks.builder.help.nbt.absent;Extra NBT: absent - match only positions without block entity data. Use this to avoid container contents, sign text, and similar data, or to clean up unusual same-name blocks without entities; generates no_tile(...).
dialog.replace_blocks.builder.help.nbt.note;This setting filters only the source side. If the target needs block entity SNBT, continue using advanced text input.
dialog.replace_blocks.builder.help.biome.title;Biome condition
dialog.replace_blocks.builder.help.biome.intro;Biome filtering checks the biome at each candidate block position. In modern 1.18+ chunks, one biome value covers a 4x4x4 block area, so nearby blocks in that cell share the same biome condition.
dialog.replace_blocks.builder.help.biome.syntax;Leave the Builder biome field empty for no biome restriction. Enter one biome id or multiple ids separated by semicolons; generated rules use biome(..., source).
dialog.replace_blocks.validation.source_empty;Enter a source block id.
dialog.replace_blocks.validation.target_empty;Enter a target block id.
dialog.replace_blocks.validation.source_unknown;Unknown source block "%s".
dialog.replace_blocks.validation.target_unknown;Unknown target block "%s".
dialog.replace_blocks.validation.source_format;Source block id must look like minecraft:stone or modid:block_name.
dialog.replace_blocks.validation.target_format;Target block id must look like minecraft:dirt or modid:block_name.
dialog.replace_blocks.validation.missing_equals;Each ReplaceBlocks rule needs from=to.
dialog.replace_blocks.validation.state_snbt;Block state SNBT must be a valid compound, for example {Name:"minecraft:stone"}.
dialog.replace_blocks.validation.tile_empty;Tile entity SNBT is missing after ;.
dialog.replace_blocks.validation.tile_snbt;Tile entity SNBT must be a valid compound.
dialog.replace_blocks.validation.trailing;Unexpected text after this rule. Separate rules with commas.
dialog.replace_blocks.validation.target_quote;Quoted target block is missing a closing quote.
dialog.replace_blocks.validation.quoted_target_ambiguous;Quoted target blocks are fragile before another rule or tile SNBT. Use {Name:"modid:block"} instead.
dialog.replace_blocks.validation.source_regex;Source "%s" is treated as a Java regex when matching blocks.
dialog.replace_blocks.validation.source_mode_wrapper;Source mode wrappers must be literal(...), regex(...), props(...), tile(...), or no_tile(...).
dialog.replace_blocks.validation.source_literal;literal(...) source must contain a valid block id. Invalid source: "%s".
dialog.replace_blocks.validation.source_regex_syntax;regex(...) source must contain a valid Java regex.
dialog.replace_blocks.validation.source_props;props(...) source must contain block-state SNBT with Name and at least one selected property.
dialog.replace_blocks.validation.source_y_range;y(...) source must use min..max with at least one integer boundary, for example y(-64..64, literal(minecraft:stone)).
dialog.replace_blocks.validation.source_biome;biome(...) source must use valid biome IDs separated by semicolons, followed by a source expression, for example biome(minecraft:plains, literal(minecraft:stone)).
dialog.change_nbt.query_invalid;Invalid change query: %s
dialog.change_nbt.replace_blocks_query_quote;In the advanced query field, wrap ReplaceBlocks values in double quotes, for example ReplaceBlocks = "minecraft:stone=minecraft:dirt".
dialog.replace_blocks.preview.button;Preview
dialog.replace_blocks.preview.title;ReplaceBlocks Preview
dialog.replace_blocks.preview.no_field;Enter a valid ReplaceBlocks value before running preview.
dialog.replace_blocks.preview.result;Dry-run completed.\nScanned regions: %d\nScanned chunks: %d\nAffected chunks: %d\nAffected sections: %d\nMatched blocks: %d\nTile entities to add: %d\nTile entities to remove: %d\nTile entities to update: %d
dialog.replace_blocks.preview.rules;Rule matches:
dialog.replace_blocks.preview.rule;#%d [%s] %s -> %s: %d
dialog.replace_blocks.preview.warning_air;Air replacement may complete missing sections before replacement. Preview counted %d missing or incomplete air sections.
dialog.replace_blocks.preview.warning_overlap;%d block positions matched more than one rule. Per-rule counts include each rule match, so their sum may be higher than matched blocks.
dialog.replace_blocks.preview.warning_tile;Tile entity replacement can add, remove, or update block entities. Test on copied worlds before applying.
dialog.replace_blocks.preview.warning_light;The current ReplaceBlocks implementation may remove light arrays from %d processed sections.
dialog.replace_blocks.preview.warning_heightmaps;Heightmaps are recomputed for processed chunks during the real change. Preview scanned %d chunks.
dialog.replace_blocks.preview.warning_unsupported;Preview is not implemented for %d scanned chunks in older or unsupported versions.
dialog.replace_blocks.preview.warning_errors;Preview skipped %d chunks and %d regions because of errors:
dialog.progress.title.preview_replace_blocks;Preview ReplaceBlocks
dialog.replace_blocks.validation.source_state_snbt;Source block state SNBT must be a valid compound with a Name value.
