status.region;Região
dialog.image_export_confirmation.header_short;Você está prestes a criar uma imagem de proporções desconhecidas.
dialog.image_export_confirmation.header_verbose;Você está prestes a criar uma imagem com as dimensões %dx%d.
dialog.import_chunks_confirmation.title;Importar chunks
dialog.import_chunks_confirmation.header;Está prestes a importar um número desconhecido de chunks neste mundo.
dialog.import_chunks_confirmation.options;Opções
dialog.import_chunks_confirmation.options.offset;Offset
dialog.import_chunks_confirmation.options.overwrite;Sobrescrever chunks existentes
dialog.import_chunks_confirmation.options.selection_only;Aplicar somente na seleção.
dialog.import_chunks_confirmation.options.y_offset;Offset Y
dialog.import_chunks_confirmation.options.sections;Seções
dialog.import_chunks_confirmation.warning;Aviso: A importação de chunks deslocados no espaço não atualizará as coordenadas dos blocos de comando.
dialog.export_chunks_confirmation.title;Exportar chunks
dialog.export_chunks_confirmation.header_short;Você está prestes a exportar um número desconhecido de Chunks deste mundo.
dialog.export_chunks_confirmation.header_verbose;Serão exportados %d chunks deste mundo.
dialog.import_selection.title;Importar seleção de .csv
dialog.import_selection.header;Este mundo já tem uma seleção.\nComo a nova seleção deve ser importada?
dialog.import_selection.overwrite;Substituir
dialog.import_selection.merge;Adicionar
dialog.import_selection.subtract;Subtrair
dialog.filter_chunks.title;Filtrar chunks
dialog.filter_chunks.filter.add.tooltip;Adicionar nova condição sobre esta.
dialog.filter_chunks.filter.delete.tooltip;Apagar esta condição.
dialog.filter_chunks.filter.type.tooltip;Tipo de condição.
dialog.filter_chunks.filter.operator.tooltip;Operador para vincular múltiplas condições.
dialog.filter_chunks.filter.comparator.tooltip;Comparador.
dialog.filter_chunks.select;Seleção
dialog.filter_chunks.select.tooltip;Cria uma seleção de todos os chunks afetados.
dialog.filter_chunks.export;Exportar
dialog.filter_chunks.export.tooltip;Exporta todos os chunks afetados a una nova pasta.
dialog.filter_chunks.delete;Apagar
dialog.filter_chunks.delete.tooltip;Apaga todos os chunks afetados do mundo atual.
dialog.filter_chunks.selection_only;Aplicar somente na seleção.
dialog.filter_chunks.add_selection;Adicionar seleção
dialog.filter_chunks.subtract_selection;Subtrair seleção
dialog.filter_chunks.selection_radius;Raio de seleção
dialog.filter_chunks.tab_query;Consulta
dialog.filter_chunks.tab_script;Roteiro
dialog.edit_overlays.title;Editar sobreposições
dialog.edit_overlays.overlay_active.tooltip;Ativo
dialog.edit_overlays.delete.tooltip;Excluir
dialog.edit_overlays.tab_presets;Sobreposições
dialog.edit_overlays.tab_script;Script
dialog.edit_overlays.create_overlay;Criar Sobreposição
dialog.change_nbt.title;Alterar NBT
dialog.change_nbt.change;Alterar
dialog.change_nbt.change.tooltip;Altera o valor apenas se sua chave existir.
dialog.change_nbt.force;Forçar
dialog.change_nbt.force.tooltip;Criar tag caso não exista.
dialog.change_nbt.selection_only;Aplicar somente na seleção.
dialog.change_nbt.selection_only.tooltip;Este filtro aplica-se apenas à seleção atual.
dialog.change_nbt_confirmation.title;Alterar NBT
dialog.change_nbt_confirmation.header_short;Serão alterados os dados em um número desconhecido de chunks deste mundo.
dialog.change_nbt.tab_query;Consulta
dialog.change_nbt.tab_script;Roteiro
dialog.edit_nbt.title;Editar chunk
dialog.edit_nbt.placeholder.loading;A Carregar...
dialog.edit_nbt.placeholder.no_chunk_data;nenhum dado de bloco chunk
dialog.edit_nbt.placeholder.no_region_file;ficheiro de região não existe
dialog.edit_array.index;Índice
dialog.edit_array.value;Valor
dialog.about.title;Sobre
dialog.about.header;Sobre o Seletor de MCA
dialog.about.version;Versão:
dialog.about.version.unknown;Desconhecido
dialog.about.version.check;Analizar
dialog.about.version.checking;A Analisar...
dialog.about.version.up_to_date;Atualizar
dialog.about.version.error;Erro
dialog.about.license;Licença:
dialog.about.copyright;Copyright:
dialog.about.source;Fonte:
dialog.progress.no_files;Não há ficheiros
dialog.progress.running;A Executar...
dialog.progress.cancelling;A Cancelar...
dialog.progress.collecting_data;Recompilando dados...
dialog.progress.done;Concluido.
dialog.progress.scanning_files;Verificando arquivos...
dialog.progress.title.loading_world;Carregando mundo...
dialog.progress.title.deleting_selection;A apagar seleção...
dialog.progress.title.creating_image;Criando imagem...
dialog.progress.title.saving_image;Salvando imagem...
dialog.progress.title.exporting_selection;A exportar seleção...
dialog.progress.title.importing_chunks;A importar chunks...
dialog.progress.title.deleting_filtered_chunks;A apagar chunks filtrados...
dialog.progress.title.exporting_filtered_chunks;A exportar chunks filtrados...
dialog.progress.title.selecting_filtered_chunks;A selecionar chunks filtrados...
dialog.progress.title.changing_nbt_data;A alterar dados do NBT...
dialog.progress.title.saving_chunk;Salvando chunk no arquivo ...
dialog.progress.title.running_before;Execute "before()"...
dialog.progress.title.running_after;Execute "after()"...
dialog.progress.title.summing;Conte a quantidade...
dialog.error.button.copy_to_clipboard;Copiar para área de transferência
dialog.error.title;Erro
dialog.error.header;Um erro ocorreu
dialog.error.copied_to_clipboard;Copiado para a área de transferência!
dialog.unsaved_selection.title;Seleção não salva
dialog.unsaved_selection.header;Há uma seleção não salva.
dialog.unsaved_script.title;Script não salvo
dialog.unsaved_script.header;Há um script não salvo.
dialog.request_number.title.array_length;Comprimento da matriz
dialog.request_number.title.enter_number;Valor
button.cancel;Cancelar
button.ok;OK
dialog.replace_blocks.builder.button;Builder
dialog.replace_blocks.builder.title;ReplaceBlocks Builder
dialog.replace_blocks.builder.from;From block
dialog.replace_blocks.builder.to;To block
dialog.replace_blocks.builder.add_rule;Add rule
dialog.replace_blocks.builder.delete_rule;Delete rule
dialog.replace_blocks.builder.rules;Rules
dialog.replace_blocks.builder.result;Generated ReplaceBlocks
dialog.replace_blocks.builder.invalid;Invalid block id or generated rule.
dialog.replace_blocks.builder.duplicate;This rule already exists.
dialog.replace_blocks.builder.empty;Add at least one rule.
dialog.replace_blocks.builder.advanced;Advanced text input remains available; from/to also accept block state SNBT with Name.
dialog.replace_blocks.builder.tile_source.any;Extra NBT: any
dialog.replace_blocks.builder.tile_source.require;Extra NBT: present
dialog.replace_blocks.builder.tile_source.exclude;Extra NBT: absent
dialog.replace_blocks.builder.y_min;Min Y
dialog.replace_blocks.builder.y_max;Max Y
dialog.replace_blocks.builder.biome;Biome
dialog.replace_blocks.builder.biome.prompt;minecraft:plains;minecraft:forest
dialog.replace_blocks.builder.preset;Preset
dialog.replace_blocks.builder.preset.prompt;Choose preset
dialog.replace_blocks.builder.preset.apply;Fill preset
dialog.replace_blocks.builder.preset.save;Save preset
dialog.replace_blocks.builder.preset.delete;Delete preset
dialog.replace_blocks.builder.preset.title;ReplaceBlocks presets
dialog.replace_blocks.builder.preset.save.title;Save ReplaceBlocks preset
dialog.replace_blocks.builder.preset.save.header;Save the generated rules as a reusable Builder preset.
dialog.replace_blocks.builder.preset.save.name;Preset name
dialog.replace_blocks.builder.preset.name_empty;Enter a preset name.
dialog.replace_blocks.builder.preset.builtin_locked;Built-in preset names cannot be overwritten.
dialog.replace_blocks.builder.preset.overwrite_confirm;A preset named "%s" already exists. Overwrite it?
dialog.replace_blocks.builder.preset.delete_confirm;Delete preset "%s"?
dialog.replace_blocks.builder.preset.replace_confirm;Loading this preset will replace the current Builder rules and draft inputs.
dialog.replace_blocks.builder.preset.saved;Preset "%s" saved.
dialog.replace_blocks.builder.preset.air_to_stone;Air -> stone
dialog.replace_blocks.builder.preset.fluids_to_air;Fluids -> air
dialog.replace_blocks.builder.preset.logs_leaves_to_air;Logs/leaves -> air
dialog.replace_blocks.builder.preset.ores_to_stone;Ores -> stone
dialog.replace_blocks.builder.preset.containers_to_air;Containers with Extra NBT -> air
dialog.replace_blocks.builder.preset.warning_air;Air replacement can create missing or sparse sections. Preview on a small copied selection first.
dialog.replace_blocks.builder.preset.warning_containers;The container preset matches only positions with Extra NBT present, but replacing them can remove stored contents. Preview on a copied world first.
dialog.replace_blocks.builder.edit_rule;Load rule
dialog.replace_blocks.builder.property.all;all
dialog.replace_blocks.builder.help.button;Help
dialog.replace_blocks.builder.help.title;ReplaceBlocks Builder Help
dialog.replace_blocks.builder.help.nbt.title;Extra NBT source condition
dialog.replace_blocks.builder.help.nbt.intro;Extra NBT is block entity data stored at a block position, such as sign text, container items, furnace progress, or command block commands. This option only checks whether the source position has that data; it does not inspect the contents.
dialog.replace_blocks.builder.help.nbt.any;Extra NBT: any - match by block name and properties regardless of block entity data. Use this for normal blocks, or when replacing and discarding existing extra data is acceptable.
dialog.replace_blocks.builder.help.nbt.present;Extra NBT: present - match only positions that already have block entity data. Use this when deliberately targeting chests, barrels, signs, furnaces, spawners, or similar data blocks; generates tile(...).
dialog.replace_blocks.builder.help.nbt.absent;Extra NBT: absent - match only positions without block entity data. Use this to avoid container contents, sign text, and similar data, or to clean up unusual same-name blocks without entities; generates no_tile(...).
dialog.replace_blocks.builder.help.nbt.note;This setting filters only the source side. If the target needs block entity SNBT, continue using advanced text input.
dialog.replace_blocks.builder.help.biome.title;Biome condition
dialog.replace_blocks.builder.help.biome.intro;Biome filtering checks the biome at each candidate block position. In modern 1.18+ chunks, one biome value covers a 4x4x4 block area, so nearby blocks in that cell share the same biome condition.
dialog.replace_blocks.builder.help.biome.syntax;Leave the Builder biome field empty for no biome restriction. Enter one biome id or multiple ids separated by semicolons; generated rules use biome(..., source).
dialog.replace_blocks.validation.source_empty;Enter a source block id.
dialog.replace_blocks.validation.target_empty;Enter a target block id.
dialog.replace_blocks.validation.source_unknown;Unknown source block "%s".
dialog.replace_blocks.validation.target_unknown;Unknown target block "%s".
dialog.replace_blocks.validation.source_format;Source block id must look like minecraft:stone or modid:block_name.
dialog.replace_blocks.validation.target_format;Target block id must look like minecraft:dirt or modid:block_name.
dialog.replace_blocks.validation.missing_equals;Each ReplaceBlocks rule needs from=to.
dialog.replace_blocks.validation.state_snbt;Block state SNBT must be a valid compound, for example {Name:"minecraft:stone"}.
dialog.replace_blocks.validation.tile_empty;Tile entity SNBT is missing after ;.
dialog.replace_blocks.validation.tile_snbt;Tile entity SNBT must be a valid compound.
dialog.replace_blocks.validation.trailing;Unexpected text after this rule. Separate rules with commas.
dialog.replace_blocks.validation.target_quote;Quoted target block is missing a closing quote.
dialog.replace_blocks.validation.quoted_target_ambiguous;Quoted target blocks are fragile before another rule or tile SNBT. Use {Name:"modid:block"} instead.
dialog.replace_blocks.validation.source_regex;Source "%s" is treated as a Java regex when matching blocks.
dialog.replace_blocks.validation.source_mode_wrapper;Source mode wrappers must be literal(...), regex(...), props(...), tile(...), or no_tile(...).
dialog.replace_blocks.validation.source_literal;literal(...) source must contain a valid block id. Invalid source: "%s".
dialog.replace_blocks.validation.source_regex_syntax;regex(...) source must contain a valid Java regex.
dialog.replace_blocks.validation.source_props;props(...) source must contain block-state SNBT with Name and at least one selected property.
dialog.replace_blocks.validation.source_y_range;y(...) source must use min..max with at least one integer boundary, for example y(-64..64, literal(minecraft:stone)).
dialog.replace_blocks.validation.source_biome;biome(...) source must use valid biome IDs separated by semicolons, followed by a source expression, for example biome(minecraft:plains, literal(minecraft:stone)).
dialog.change_nbt.query_invalid;Invalid change query: %s
dialog.change_nbt.replace_blocks_query_quote;In the advanced query field, wrap ReplaceBlocks values in double quotes, for example ReplaceBlocks = "minecraft:stone=minecraft:dirt".
dialog.replace_blocks.preview.button;Preview
dialog.replace_blocks.preview.title;ReplaceBlocks Preview
dialog.replace_blocks.preview.no_field;Enter a valid ReplaceBlocks value before running preview.
dialog.replace_blocks.preview.result;Dry-run completed.\nScanned regions: %d\nScanned chunks: %d\nAffected chunks: %d\nAffected sections: %d\nMatched blocks: %d\nTile entities to add: %d\nTile entities to remove: %d\nTile entities to update: %d
dialog.replace_blocks.preview.rules;Rule matches:
dialog.replace_blocks.preview.rule;#%d [%s] %s -> %s: %d
dialog.replace_blocks.preview.warning_air;Air replacement may complete missing sections before replacement. Preview counted %d missing or incomplete air sections.
dialog.replace_blocks.preview.warning_overlap;%d block positions matched more than one rule. Per-rule counts include each rule match, so their sum may be higher than matched blocks.
dialog.replace_blocks.preview.warning_tile;Tile entity replacement can add, remove, or update block entities. Test on copied worlds before applying.
dialog.replace_blocks.preview.warning_light;The current ReplaceBlocks implementation may remove light arrays from %d processed sections.
dialog.replace_blocks.preview.warning_heightmaps;Heightmaps are recomputed for processed chunks during the real change. Preview scanned %d chunks.
dialog.replace_blocks.preview.warning_unsupported;Preview is not implemented for %d scanned chunks in older or unsupported versions.
dialog.replace_blocks.preview.warning_errors;Preview skipped %d chunks and %d regions because of errors:
dialog.progress.title.preview_replace_blocks;Preview ReplaceBlocks
dialog.replace_blocks.validation.source_state_snbt;Source block state SNBT must be a valid compound with a Name value.
